URL,MLB_ID,AFFILIATE_STATUS,TRACKING_ID,IMAGE_STATUS,PRICE_STATUS,BUTTON_STATUS,HTTP_STATUS
https://comparapreco.github.io/ofertas/celulares/samsung-galaxy-s25-ultra-5g-512gb-12gb-camera-quadrupla-titanium-gray-MLB46687988.html,MLB46687988,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/samsung-galaxy-s25-5g-256gb-12gb-camera-tripla-azul-marinho-MLB62258511.html,MLB62258511,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/samsung-galaxy-s25-5g-256gb-12gb-camera-tripla-prateado-MLB56513939.html,MLB56513939,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/samsung-galaxy-watch7-smartwatch-44mm-bt-galaxy-ai-verde-MLB65770866.html,MLB65770866,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/smartphone-gamer-infinix-gt30-pro-5g-12gb-ram-256gb-camera-dupla-108mp-selfie-13mp-nfc-6-78-amoled-144hz-dual-MLB62253296.html,MLB62253296,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/smartphone-infinix-smart-10-4gb-ram-256gb-ssd-camera-8mp-ia-tela-667-hd-120hz-bateria-5000mah-processador-MLB58899457.html,MLB58899457,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/smartphone-motorola-moto-g06-128gb-12gb-4gb-ram-8gb-ram-boost-e-camera-50mp-com-ai-bateria-de-5200-mah-tela-MLB58353028.html,MLB58353028,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/smartphone-motorola-moto-g35-5g-128gb-12gb-4gb-ram-8gb-ram-boost-e-camera-50mp-com-ai-nfc-tela-67-com-MLB41540844.html,MLB41540844,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/smartphone-samsung-galaxy-a36-5g-128gb-6gb-ram-camera-tripla-de-ate-50mp-selfie-de-12mp-ip67-super-amoled-67-MLB47115842.html,MLB47115842,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/xiaomi-poco-x7-pro-5g-256gb-amarelo-12ram-50mpx-MLB45513357.html,MLB45513357,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/xiaomi-pocofone-xiaomi-poco-c85-dual-sim-256-gb-8-gb-cor-preto-MLB54068750.html,MLB54068750,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/xiaomi-redmi-15c-8gb-ram-256gb-dual-sim-50mp-fm-impressao-digital-dimm-azul-MLB54099424.html,MLB54099424,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/celular-samsung-galaxy-a07-256gb-8gb-camera-50mp-tela-67-protecao-ip54-processador-6nm-preto-MLB68838381.html,MLB68838381,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/controle-sem-fio-redfin-joystick-compativel-ps4-videogame-tv-pc-celular-android-touchpad-bluetooth-vibracao-MLB26899378.html,MLB26899378,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/ar-condicionado-split-hi-wall-samsung-ultra-ai-inverter-9000-btus-frio-r-32-branco-220v-MLB42193461.html,MLB42193461,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/cafeteira-eletrica-electrolux-jarra-vidro-acabamento-inox-filtro-permanente-removivel-sistema-corta-pingos-MLB66154233.html,MLB66154233,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/cafeteira-expresso-dolce-gusto-arno-genio-s-basic-automatica-cinza-escuro-127v-MLB64192083.html,MLB64192083,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/cafeteira-nespresso-essenza-mini-preta-preto-127v-MLB67638659.html,MLB67638659,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/caixa-de-som-boombox-aiwa-aws-bbs-01b-200w-ip66-30hs-de-bateria-preto-127-220v-MLB4056119063.html,MLB4056119063,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/chuveiro-eletronico-lorenzetti-acqua-duo-ultra-7800w-branco-220v-78-kw-MLB5978099410.html,MLB5978099410,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/chuveiro-lorenzetti-loren-shower-ultra-eletronico-branco-7500w-220v-75-w-MLB18393786.html,MLB18393786,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/cooktop-a-gas-fischer-4-bocas-fit-line-trempe-esmaltada-aramado-preto-127-220v-MLB4292031849.html,MLB4292031849,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/fritadeira-air-fryer-forno-oven-12l-mondial-afon-12l-ab-preto-127v-MLB19055866.html,MLB19055866,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/fritadeira-a-ar-mondial-family-puff-4l-preto-1500w-af-31-AMZ-B09B2Y9Z79.html,UNKNOWN,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/cafeteira-nespresso-essenza-mini-preta-preto-127v-MLB19479467.html,MLB19479467,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/geladeira-electrolux-cycle-defrost-240l-degelo-pratico-uma-porta-branca-re31-127v-branco-MLB6077910.html,MLB6077910,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/eletrodomesticos/ar-condicionado-split-hq-hw-inv-9k-frio-viht9kco3s2s13-branco-220v-MLB60724063.html,MLB60724063,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/ferramentas/parafusadeira-e-furadeira-impacto-the-black-tools-tb-21pw-3-8-cor-amarelo-frequencia-50-60-hz-127-220v-60hz-MLB38053317.html,MLB38053317,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/ferramentas/parafusadeira-furadeira-c-2-baterias-maleta-kit-completo-led-eixo-flexivel-varios-niveis-torque-amarelo-127-220v-MLB64305534.html,MLB64305534,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/gamer/cadeira-gamer-profissional-tgc12-preta-thunderx3-AMZ-B07N8P9T2Q.html,UNKNOWN,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/console-playstation-5-slim-edicao-digital-825-gb-branco-MLB6046653990.html,MLB6046653990,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/console-sony-playstation-5-edicao-slim-disk-1tb-branco-controle-sem-fio-dualsense-ps5-branco-MLB52897777.html,MLB52897777,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/controle-joystick-sem-fio-sony-playstation-5-dualsense-midnight-black-preto-MLB18010993.html,MLB18010993,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/controle-joystick-sem-fio-sony-playstation-dualsense-branco-MLB33997846.html,MLB33997846,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/controle-sem-fio-dualsense-chroma-teal-ps5-sony-cfi-zct1w-cor-verde-MLB45840555.html,MLB45840555,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/controle-sem-fio-dualsense-edge-midnight-black-ps5-preto-MLB45953824.html,MLB45953824,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/controle-sem-fio-dualsense-playstation-5-chroma-indigo-cor-azul-MLB41539969.html,MLB41539969,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/controle-sem-fio-dualsense-ps5-starlight-blue-starlight-blue-MLB67564313.html,MLB67564313,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/controle-sem-fio-microsoft-xbox-series-s-x-one-pc-pulse-red-MLB17375584.html,MLB17375584,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/controle-xbox-wireless-series-x-s-carbon-black-MLB16268160.html,MLB16268160,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/havit-fone-de-ouvido-headset-gamer-fuxi-h3-quad-mode-com-fio-e-sem-fio-wireless-2-4ghz-bluetooth-cabo-usb-c-MLB27166077.html,MLB27166077,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/kit-420-figurinhas-do-album-copa-do-mundo-2026-60-envelopes-MLB4627337165.html,MLB4627337165,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/kit-70-figurinhas-do-album-copa-do-mundo-2026-pronta-entrega-MLB4627310495.html,MLB4627310495,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/kit-c-36-envelopes-252-cromos-copa-do-mundo-fifa-2026-MLB6582857986.html,MLB6582857986,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/kit-com-48-pacotes-de-figurinhas-panini-para-o-album-copa-do-mundo-fifa-2026-MLB4674562069.html,MLB4674562069,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/qrd-ferrox-m5-controle-sem-fio-para-xbox-series-x-s-one-efeito-hall-pc-gamepad-24-ghz-wireless-controller-MLB60046989.html,MLB60046989,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/games/ventilador-de-teto-c-controle-6-vel-fenix-ventisol-127-220v-MLB35556218.html,MLB35556218,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/informatica/asus-consola-portatil-512-gb-white-z2-rc73ya-nh003w-rog-xbox-ally-asus-ryzen-z2-wh-branco-MLB6070039800.html,MLB6070039800,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/informatica/computador-completo-top-intel-core-i5-4570-8gb-ram-ssd-256gb-bivolt-monitor-20-led-75hz-preto-bluepc-MLB65664882.html,MLB65664882,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/informatica/impressora-multifuncional-cor-epson-ecotank-l3250-preto-127-220v-MLB5275428302.html,MLB5275428302,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/informatica/monitor-gamer-aoc-215-full-hd-gaming-120hz-1ms-22b30hm23-cor-preto-127-220v-MLB4089347501.html,MLB4089347501,OK,CORRECT,OK,OK,OK,200
